Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes,Dates
9/13/2022,TWITCH TV - 001000 JTI*TWITCHTV,TWITCH TV - 001000 JTI*TWITCHTV,4.99,debit,Entertainment,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-13T00:00:00
9/13/2022,RECURRING PURCHASE AT BVD*BEENVE,RECURRING PURCHASE AT BVD*BEENVE,26.89,debit,Music,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-13T00:00:00
9/13/2022,CHECK POSTED,CHECK POSTED,42,debit,Check,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-13T00:00:00
9/13/2022,"BUCKS STORE 55, MILFORD, OH","BUCKS STORE 55, MILFORD, OH",8.7,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-13T00:00:00
9/12/2022,"PANERA BREAD #2049, CINCINNATI,","PANERA BREAD #2049, CINCINNATI,",5.69,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-12T00:00:00
9/12/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",7.97,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-12T00:00:00
9/12/2022,- 506301 UNITED DAIRY FA MILFORD,- 506301 UNITED DAIRY FA MILFORD,17.08,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-12T00:00:00
9/12/2022,"DD DOORDASH SUKHOT, 8559731040,","DD DOORDASH SUKHOT, 8559731040,",35.6,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-12T00:00:00
9/12/2022,"DD DOORDASH CHIPOT, 8559731040,","DD DOORDASH CHIPOT, 8559731040,",29.04,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-12T00:00:00
9/12/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",3.89,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-12T00:00:00
9/12/2022,"DD DOORDASH NAPAKI, 8559731040,","DD DOORDASH NAPAKI, 8559731040,",23,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-12T00:00:00
9/12/2022,"DD DOORDASH CHICK-, 8559731040,","DD DOORDASH CHICK-, 8559731040,",21.62,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-12T00:00:00
09/09/2022,"AMZN Mktp US*1F8WF, Amzn.com/bil","AMZN Mktp US*1F8WF, Amzn.com/bil",21.02,debit,Shopping,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-09T00:00:00
09/09/2022,- 506301 UNITED DAIRY FA MILFORD,- 506301 UNITED DAIRY FA MILFORD,16.73,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-09T00:00:00
09/09/2022,"BUCKS STORE 02, MILFORD, OH","BUCKS STORE 02, MILFORD, OH",5.75,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-09T00:00:00
09/08/2022,"DD DOORDASH MCDONA, 8559731040,","DD DOORDASH MCDONA, 8559731040,",32.97,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-08T00:00:00
09/08/2022,EARLY PAY: Total Qualit-OSV EDIP,EARLY PAY: Total Qualit-OSV EDIP,1088.6,credit,Paycheck,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-08T00:00:00
09/08/2022,"DD DOORDASH DASHMA, 8559731040,","DD DOORDASH DASHMA, 8559731040,",43.81,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-08T00:00:00
09/08/2022,ATM WITHDRAWAL POSTED,ATM WITHDRAWAL POSTED,40,debit,Cash & ATM,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-08T00:00:00
09/07/2022,RECURRING PURCHASE AT APPLE.COM/,RECURRING PURCHASE AT APPLE.COM/,19.39,debit,Electronics & Software,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-07T00:00:00
09/06/2022,"BUCKS STORE 02, MILFORD, OH","BUCKS STORE 02, MILFORD, OH",9.1,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-06T00:00:00
09/06/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",6.93,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-06T00:00:00
09/06/2022,"DD DOORDASH WINGST, 8559731040,","DD DOORDASH WINGST, 8559731040,",30.86,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-06T00:00:00
09/06/2022,CRUNCH CLUB FEES 2224500410139,CRUNCH CLUB FEES 2224500410139,26.74,debit,Gym,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-06T00:00:00
09/06/2022,VENMO CASHOUT 1022119028193 0906,VENMO CASHOUT 1022119028193 0906,300,credit,Transfer,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-06T00:00:00
09/06/2022,"DD DOORDASH IHOP, 8559731040, CA","DD DOORDASH IHOP, 8559731040, CA",9.06,debit,Restaurants,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-06T00:00:00
09/06/2022,"DD DOORDASH TACOBE, 8559731040,","DD DOORDASH TACOBE, 8559731040,",23.72,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-06T00:00:00
09/02/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",3.78,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-02T00:00:00
09/02/2022,"DD DOORDASH CHIPOT, 8559731040,","DD DOORDASH CHIPOT, 8559731040,",23.54,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-02T00:00:00
09/02/2022,- 506301 UNITED DAIRY FA MILFORD,- 506301 UNITED DAIRY FA MILFORD,3.48,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-02T00:00:00
09/01/2022,RECURRING PURCHASE AT APPLE.COM/,RECURRING PURCHASE AT APPLE.COM/,19.39,debit,Electronics & Software,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-01T00:00:00
8/31/2022,"DD DOORDASH MARCOS, 8559731040,","DD DOORDASH MARCOS, 8559731040,",42.09,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-31T00:00:00
8/30/2022,"CASH APP*VICTORIA, 4153753176, C","CASH APP*VICTORIA, 4153753176, C",13,debit,Misc Expenses,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-30T00:00:00
8/30/2022,"DD DOORDASH CLOUD9, 8559731040,","DD DOORDASH CLOUD9, 8559731040,",39.89,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-30T00:00:00
8/29/2022,RECURRING PURCHASE AT APPLE.COM/,RECURRING PURCHASE AT APPLE.COM/,0.99,debit,Electronics & Software,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-29T00:00:00
8/29/2022,WAL-MART #2250 - 225001 4000 RED,WAL-MART #2250 - 225001 4000 RED,34.79,debit,Shopping,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-29T00:00:00
8/29/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",8.22,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-29T00:00:00
8/29/2022,"DD DOORDASH DASHMA, 8559731040,","DD DOORDASH DASHMA, 8559731040,",49.51,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-29T00:00:00
8/29/2022,- 307001 SALLY BEA 820 MAIN ST M,- 307001 SALLY BEA 820 MAIN ST M,53.52,debit,Business Services,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-29T00:00:00
8/29/2022,"CASH APP*JOHN FUGA, 4153753176,","CASH APP*JOHN FUGA, 4153753176,",33,debit,Transfer,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-29T00:00:00
8/29/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",3.62,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-29T00:00:00
8/29/2022,"BUCKS STORE 02, MILFORD, OH","BUCKS STORE 02, MILFORD, OH",10.2,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-29T00:00:00
8/29/2022,"DD DOORDASH MCDONA, 8559731040,","DD DOORDASH MCDONA, 8559731040,",24.31,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-29T00:00:00
8/26/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",5.43,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-26T00:00:00
8/26/2022,"MARX HOT BAGELS, BLUE ASH, OH","MARX HOT BAGELS, BLUE ASH, OH",7.64,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-26T00:00:00
8/26/2022,"VENMO, 8558124430, NY","VENMO, 8558124430, NY",500,debit,Transfer,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-26T00:00:00
8/26/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",3.62,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-26T00:00:00
8/25/2022,EARLY PAY: Total Qualit-OSV EDIP,EARLY PAY: Total Qualit-OSV EDIP,1075.37,credit,Paycheck,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-25T00:00:00
8/25/2022,"DD DOORDASH DASHMA, 8559731040,","DD DOORDASH DASHMA, 8559731040,",23.37,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-25T00:00:00
8/25/2022,UDFI002005 - 012328 UNITED DAIRY,UDFI002005 - 012328 UNITED DAIRY,14.97,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-08-25T00:00:00
